comment_id,author,content
https://www.facebook.com/lu.yu.yu.893719?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzIwMjQzMTUwNTUwMzI1MTI%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"陸妤妤
水哥
1小時
讚
回覆"
https://www.facebook.com/ica.jess.3511?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzEzOTMwNzk4NTU1ODYzODc%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"頭號粉絲
Ica Jess
加油
3小時
讚
回覆"
https://www.facebook.com/profile.php?id=100038532602848&comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzExNDExNjE0MjE0MzIxNjM%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"陳東東
國軍需要你
3小時
讚
回覆"
https://www.facebook.com/li.ge.62351?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzI1MTk2Njg0NzA2NjI4Njk2&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"王雨倫
一起做公益
4小時
讚
回覆"
https://www.facebook.com/zhang.zhi.xin.771047?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzIyNzAwMzAzMDY4MzkwMDE%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"張至欣
一起做愛心 你們真棒
4小時
讚
回覆"
https://www.facebook.com/hello2857?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzcxNzkzOTczMDkzNjU3Ng%3D%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"整合負債協商、解除銀行扣薪
書偉哥加油
4小時
讚
回覆"
https://www.facebook.com/zhang.hui.min.663104?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzQwNjAzNDI2NzA4NDQ0MDM%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"張惠敏
我家有6隻柴柴，全是我的家人
4小時
讚
回覆"
https://www.facebook.com/profile.php?id=61550614026660&comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzIyNzQ4MTcwNTMwMzMzNzk%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"頭號粉絲
黃麗幸
永遠支持你~書偉加油！
5小時
讚
回覆"
https://www.facebook.com/zhang.li.zhu.593264?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzkxMDA3MzUxODM1MTA1Nw%3D%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"頭號粉絲
張張
支持
5小時
讚
回覆"
https://www.facebook.com/profile.php?id=61550614026660&comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzM0MTkyMzMxOTgyMzM3MTk%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"頭號粉絲
黃麗幸
書偉~好想念你喔！做愛心公益非常棒！
5小時
讚
回覆"
https://www.facebook.com/qiuxiah?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzgzODg1Njc2MjI0MDIwOA%3D%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"洪曉霞
謝謝書偉
永遠支持你，你真的很棒，又帥又善良
5小時
讚
回覆"
https://www.facebook.com/lin.ya.lin.921776?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzExOTQyOTI0MDkyNjU1Mjk%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"頭號粉絲
林雅琳
書偉哥哥，我們大家真的很想你，我們大家永遠愛你唷
永遠力挺Energy 哥哥們，永遠支持你們到老
跟著Energy 哥哥們，一起做愛心，是一件幸福的事情
7小時
讚
回覆"
https://www.facebook.com/ya.ya.921?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzE2MjIyNjQ0NTU4ODU1MzQ%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"頭號粉絲
雅卉鄧
書偉哥加油
7小時
讚
回覆"
https://www.facebook.com/li.jin.hua.815799?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzMwODQ3NzcwODE3MTQ2NDY%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"頭號粉絲
李金樺
黑糖黑糖
7小時
讚
回覆"
https://www.facebook.com/mingjung.hsieh.3?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzExNzgzNzIyMzEwNzY2OTU%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"馬王
復出sop : 公益。
7小時
讚
回覆
2"
https://www.facebook.com/chiachen.chang.96?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5Xzg4MzMwMzgwMTA0MjA2MQ%3D%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"頭號粉絲
張嘉珍
馬王
sop : 鍵盤嘴砲。
5小時
讚
回覆"
https://www.facebook.com/qiu.xiao.hui.851928?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzcwMzIyOTY4NjE3MjQ1Nw%3D%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"邱小慧
哥
想念的心一直不變
也謝謝你們幫助毛孩喲！
8小時
讚
回覆
2"
https://www.facebook.com/lillian.chang.9847?comment_id=Y29tbWVudDoxNDE4NDYzMDMyOTY4ODg5XzE5ODI5MzQxMjIyNDk4MDI%3D&__cft__[0]=AZULrk9bImQSM2t63UF8ZY-dllqloUTuJeFAZjFcsI44Kuq4QDygV3sqEY0T9GIq8SDodYfNOLTN11HvKVYdzGikipfe7_ANKdaFxp0lxYaNdW8WP258n9C_KLowFKAMJpTidj00ofKitTeOo72CDDOQKM6mXRjZy7cGBw8WZkZxvw&__tn__=R]-R,,"Lillian Chang
書偉哥好棒
8小時
讚
回覆"
