comment_id,author,content
https://www.facebook.com/bei.ji.la.gan?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzEzMTAxMTYxMDM2OTYwNDY%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"北極啦幹
看這部會教怎麼開車門嗎
5週
讚
回覆"
https://www.facebook.com/faught.swafford.54?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzEzMzkxNTAzMjQzOTM4MjE%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"Faught Swafford
因為凡有的，還要加給他，叫他有餘；沒有的，連他所有的也要奪過來。
..............................
For unto every one that hath shall be given, and he shall have abundance: but from him that hath not, even that which he hath shall be taken away.
8週
讚
回覆"
https://www.facebook.com/guinyard.boynton.505?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzE1MDI3NzYxOTc0MTAwMzg%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"Guinyard Boynton
耶穌回答說：「你們要謹慎，免得有人迷惑你們。
******************************************
And Jesus answered and said unto them, Take heed that no man lead you astray.
8週
讚
回覆"
https://www.facebook.com/bourgault.paredes.963?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzUzMDk4MTIwMDAwNTU5Mw%3D%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"Bourgault Paredes
你這瞎眼的法利賽人，先洗淨杯盤的裡面，好叫外面也乾淨了。
------------------------
Thou blind Pharisee, cleanse first the inside of the cup and of the platter, that the outside thereof may become clean also.
21週
讚
回覆"
https://www.facebook.com/yu.fak.2025?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzcyMjUwOTcwMzU0NDUxMQ%3D%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"Yu Fak
螢幕前深情萬千，螢幕後是垃圾「龜縮陽痿」男人！只有十七八歲的白痴少女才會相信這種製作出來的鬼扯蛋的深情，不被TM死男人的鐵拳砸一次，是不會醒來的！！！
28週
讚
回覆"
https://www.facebook.com/liu.jia.chang.447331?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzY2Mjk1NTM1OTY1NzAyNg%3D%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"劉加昌
為什麼犯法 妳這樣會妳讓大S媽媽 死不明目
34週
讚
回覆"
https://www.facebook.com/jiang.yi.852038?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzEwODcyNjQ2NTMxNzE1ODI%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"江翊
去成功嶺了嗎？
37週
讚
回覆"
https://www.facebook.com/profile.php?id=100073799553817&comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzYwNzkxNzAwMjA2ODg4Ng%3D%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"百萬陳
包包起來
37週
讚
回覆"
https://www.facebook.com/chen.mei.zhong.2025?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzEzMjI1Mzg0Nzg5OTU4MTE%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"沉沒中
這麼難看
38週
讚
回覆"
https://www.facebook.com/li.thomas.988?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzY1NjU5MTQ5MDE3NTMyNg%3D%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"Li Thomas
滾，一舉一動真的令人作噁，希望你在裡面被射好射滿，滿滿的大平台
38週
讚
回覆"
https://www.facebook.com/sdl.hair.vic?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzE0MjIwOTMxNjU0MjQ4MDg%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"權閔熙
還沒下架嗎
38週
讚
回覆"
https://www.facebook.com/george0897?comment_id=Y29tbWVudDoyMTMyNzM2MjkwMTc4OTQ3XzYzMzgwNjM5MjczMjE5MQ%3D%3D&__cft__[0]=AZUt7qVnLnr9y4ZIXe4IUAmHOfZQdz_dnmWfmY7KOASnfj6OsOBzWgXWUOX2ftECEGXe46pYSCfrxEbokmTgxXesjyQkAi_oNVR6be6gOGrm7NwIDPFs74JEOnPsw-0NBX3sxzG7Lq2XUqQSISoEEvGr-zteuLwh06IQx8GsX3zTCw&__tn__=R]-R,,"喬治
王大陸你真的很行啊！
自己想死還拖一大推人
38週
讚
回覆"
