comment_id,author,content
https://www.facebook.com/leo.kuo.37?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzQ0MTQ5ODU5OTUzOTk3NzQ%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R-R,,"Leo Kuo
胡記臭豆腐
4週
讚
回覆"
https://www.facebook.com/profile.php?id=100048453650225&comment_id=Y29tbWVudDoxMzcxNDkwNTU3NjcwNTg0XzgyNTU3OTY3MzM4NjIxMg%3D%3D&__cft__[0]=AZWV1lpNPVjYehkvy28FtowTl6CYSrmrSciMJouY-B0s-gne11RAefI8jpAOCvlkjXoqlc3q3BqNPQssJpX89aXvnVRoUjozgYVS7oFhF9TxDXsXLx77P8IzgFhc411VcHd-_JdDXO0oBUatzvr7Tgvic5GIQhYtaDt12UYSqmH_5L-7L36K62STVN3reFdOMhZOSRRIfGayYqKdDKNp2Q7S&__tn__=R-R,,"宁德
阿达和LuLu拍的金门节目现在还记得，那么相配，怎么就分手了。
4週
讚
回覆"
https://www.facebook.com/min.hui.469786?comment_id=Y29tbWVudDoxMzY4Nzg5NTkxMjc0MDE0XzgyNDIxNDc4MDM1MjQ1Mg%3D%3D&__cft__[0]=AZV2MSViyHUx2YhKhwdQrfOruKxORDYCH2U-1pXQOI6cyYlJe44aFy9kWX2pQEWG0grlAZDGeNmZ1Bl2AxwGaPmgr-KcHhKKNnvjX0eCWxJqkXA3-aObE5_5ai-wpu04-cD79ybQCPSwjamlXvlsWAmofAzdFBkMFTEtzoG6YinIlJWWnRaQC1niy7wzW1gLCNB3kO5X35l3OwcYSfL0ITTl&__tn__=R-R,,"Min Hui
廖姍迪
我們的愛
5週
讚
回覆"
https://www.facebook.com/mi.xue.gao.940434?comment_id=Y29tbWVudDoxMzY2MDIwNDE4MjE3NTk4XzM5MTgwOTI0MzE4MjE3ODU%3D&__cft__[0]=AZULre3E2asN5KQmccn2hWFXvdGU3-2pFa5oyRW1vq2jiB1GIjb1YJEMlqTBOhH71qUyo1ooDSpB_7TgeTFej57u-1xWUWIPxBwjFuOmcw0zhwQQaMvUpILXoVK_eMorwJZmZTAm0fHDIoDnglcX1C_ajTFntZNBExLHu7NtXvEBzsMN_vYLxCp5JF9v5Rw3g6U&__tn__=R-R,,"米雪糕
風度到帥到爆炸
6週
讚
回覆"
https://www.facebook.com/profile.php?id=100002845008806&comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzE0OTUwMjkwMjE3ODU2ODQ%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"昊宇
他女婿在西定路也開一家
4週
讚
回覆"
https://www.facebook.com/profile.php?id=100002845008806&comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzEyMTczNTE4NjM1NDY0NjE%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"昊宇
基隆阿興
4週
讚
回覆"
https://www.facebook.com/leo.kuo.37?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzQ0MTQ5ODU5OTUzOTk3NzQ%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"Leo Kuo
胡記臭豆腐
4週
讚
回覆"
https://www.facebook.com/shuwei.hsu.31?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzI1MTUwMjc4MzYxMjc1MDAw&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"許書維
Nina Ho
你的愛
4週
讚
回覆"
https://www.facebook.com/chen.su.ying.566154?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4Xzg0MDM3MTM3ODY3NzcwNw%3D%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"沈素英
臭才好吃
4週
讚
回覆"
https://www.facebook.com/qiu.yu.lin.513497?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzI1MzU2NzQxNzAxMzczMjE%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"邱玉麟
培德路
4週
讚
回覆"
https://www.facebook.com/linpippen?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzE3OTgzMzc2NzQxNDg0MjI%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"茶裏 王
基隆胡記
4週
讚
回覆"
https://www.facebook.com/wayne.chang.372?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzE2MTcwODU4Mjk2NzE3MTQ%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"Wayne Chang
推薦一家一口酥臭豆腐在台中西屯‘’阿裕一口酥‘’真心不騙
4週
讚
回覆
2"
https://www.facebook.com/chaung.jog?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzY2MzkwNDU3Njc5NDYyMw%3D%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"Chaung Jog
想知道在哪
4週
讚
回覆"
https://www.facebook.com/yi.w.tsui?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzE4MDc4OTg5ODk4NTExNzU%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"Yi Wen Tsui
在哪裡
4週
讚
回覆"
https://www.facebook.com/an.ni.441688?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzE1NTA0ODk0NjI3ODc3OTg%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"安妮
Yi Wen Tsui
基隆 信義區培德路
4週
讚
回覆"
https://www.facebook.com/chuangjiajia.329256?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzE1MTk2ODA1NTU5NTQ3MDU%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"ChuangJiaJia
在哪
4週
讚
回覆"
https://www.facebook.com/berland.ting?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzgzNDk1MjQ5MjM1NzE3Mw%3D%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"Berland Ting
療傷止痛
4週
讚
回覆"
https://www.facebook.com/ku.ji.698054?comment_id=Y29tbWVudDoxMzc0OTk1MDgzOTg2Nzk4XzgwNTg0MDk1NTc2MTY0NA%3D%3D&__cft__[0]=AZUu9avu_cXf3PH2JSGKAzwMq0Hjst6SnICpmBTthCpDuLeqGNYxGFlhGD-mn0m_X5gyeOUs_O2GT9IBzlVtOsf63RGye7y4Y4JlKr_iwJVgizOqHrDj1JwELeUf3pHeZshkcQM_KWLrzeQt8Y1Nwt6e8Kbfo_7wOJuIH57K2UzLo6trGy8qifFG9_pomoRK1Ko&__tn__=R]-R,,"酷基
大胖 小胖都不錯
大三元也好吃
4週
讚
回覆"
https://www.facebook.com/sherry.huang.708901?comment_id=Y29tbWVudDoxMzY1NDEzODY0OTQ0OTIwXzExNDkwMTc0ODAwODc2OTE%3D&__cft__[0]=AZWZX3-gm_5EQl96hLiS4eUZ1YtFBPUiGJTK3QyHVpxIIZY9V42muJREA76bta9_e6UPxz1-EyaG3d1C9lydAjz2NjEcPjyS2bs-TWMFLgOHlKsTRmKwGMd3hmwm6IeG7gHlF3kVn_lIRZygOvA1tMSQP_R93et-tM0f4zqzs1A0ZRDnLkbe4ctZ5DHw-uzv3fc01cIRKjX8gjltKFWkbQhC&__tn__=R-R,,"Sherry Huang
再接再厲
6週
讚
回覆"
