comment_id,author,content
https://www.facebook.com/profile.php?id=100000481308344&comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2XzExOTk4NzM3MDIwNDg2MTg%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"陳品碩
我當兵我驕傲，你不當兵你傲嬌個屁
2週
讚
回覆"
https://www.facebook.com/ceng.qi.bin.4372?comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2XzExNzUzMjk2NTA2ODQ0MTc%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"曾麒賓
自己爛還敢嗆媒體，好意思
2週
讚
回覆"
https://www.facebook.com/chen.ying.san.2025?comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2XzIwOTE4NDYwNjc4ODg2OTM%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"陳盈三
是不是很怕當兵啊！
2週
讚
回覆"
https://www.facebook.com/vinsanccl.chen?comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2XzEzNTc4MjcyOTkwODA5NjI%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"Vinsan Chen
等企鴻槓桿咧
3週
讚
回覆"
https://www.facebook.com/profile.php?id=100080326999708&comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2XzgxMTA1MDQxMTcxNDc0OQ%3D%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"YI Yuta
零九 閃兵被抓到 ㄧ定想說 靠又被發現了 人阿走路還是要好好走
3週
讚
回覆"
https://www.facebook.com/profile.php?id=61577891009976&comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2Xzc5NzAzNTc2OTc5OTEzMQ%3D%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"林羽珊
裸裸婚內出軌王子竟然扯出陳零九 怎啥都有你三觀跟給人印象還真糟糕
4週
讚
回覆"
https://www.facebook.com/profile.php?id=100080326999708&comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2XzEzNTcwMzIzNzI2OTA2OTU%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"YI Yuta
林羽珊
他就不紅阿 不挑他這種閃兵的打 要挑誰打
3週
讚
回覆"
https://www.facebook.com/profile.php?id=100080326999708&comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2Xzg0MDkxMDQyOTEwNTkxOA%3D%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"YI Yuta
出來面對
4週
讚
回覆"
https://www.facebook.com/jian.li.xuan.608994?comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2XzE2MjM2MDA1NTUyODY4OTM%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"簡軒軒
可撥
4週
讚
回覆"
https://www.facebook.com/jonathan.lin.14289?comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2XzgzNTcxMTg5ODgzOTE5Mg%3D%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"Jonathan Lin
真可惜新冠肺炎趕不上你收到兵單的時間
4週
讚
回覆"
https://www.facebook.com/hu.weiguo.535795?comment_id=Y29tbWVudDoxMjQ1MzIyMzAzNjMxMDE2XzExMzE1MjA2NjU2MjgzNzg%3D&__cft__[0]=AZU8USs541EjCPJisnVlNSN9XyCfUs6XnmEjVrBRLBNdgPC_7MORGwgl9wbM-cEcLA71cRzm2rJy8npM3mYddBzCrTZ0atGQNYzxCEvkPJJTBwTngFhVUkEF2tHBvbhDdNUeU3iIYhZGShH5w5VGmp08Ol3jFgyQGfi8PUEj0yrQfw&__tn__=R]-R,,"Hu WeiGuo
閃起來
5週
讚
回覆"
